run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
0,vol_k_rand,ex7_3_5bis.bch,1.2069,16320,3.15745,NA,NA,1,8301,0,8301,8302,1
3,vol_k_rand,ex7_3_5bis.bch,1.2069,16320,3.19175,NA,NA,1,8301,0,8301,8302,1
2,vol_k_rand,ex7_3_5bis.bch,1.2069,16320,3.21248,NA,NA,1,8298,0,8298,8302,4
1,vol_k_rand,ex7_3_5bis.bch,1.2069,16320,3.22215,NA,NA,1,8288,0,8288,8302,14
5,vol_k_rand,ex7_3_5bis.bch,1.2069,16320,3.2236,NA,NA,1,8301,0,8301,8302,1
4,vol_k_rand,ex7_3_5bis.bch,1.2069,16320,3.25466,NA,NA,1,8300,0,8300,8302,2
6,vol_k_rand,ex7_3_5bis.bch,1.2069,16320,3.13725,NA,NA,1,8301,0,8301,8302,1
7,vol_k_rand,ex7_3_5bis.bch,1.2069,16320,3.15579,NA,NA,1,8296,0,8296,8302,6
8,vol_k_rand,ex7_3_5bis.bch,1.2069,16320,3.14839,NA,NA,1,8301,0,8301,8302,1
9,vol_k_rand,ex7_3_5bis.bch,1.2069,16320,3.17255,NA,NA,1,8298,0,8298,8302,4
