run,variant,problem,triggers_total,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
4,depth_k,ex2_1_7.bch,618,618,0,620,620
1,depth_k,ex2_1_7.bch,614,614,0,616,616
2,depth_k,ex2_1_7.bch,628,628,0,630,630
3,depth_k,ex2_1_7.bch,612,612,0,614,614
0,depth_k,ex2_1_7.bch,610,610,0,612,612
5,depth_k,ex2_1_7.bch,612,612,0,614,614
8,depth_k,ex2_1_7.bch,601,601,0,603,603
6,depth_k,ex2_1_7.bch,610,610,0,612,612
9,depth_k,ex2_1_7.bch,610,610,0,612,612
7,depth_k,ex2_1_7.bch,618,618,0,620,620
